Category,Short_Name,Full_Name,Profit_4yr_%,Profit_5yr_%,Rank_4yr,Percentile_4yr,Rank_5yr,Percentile_5yr
Broad,NN50,NIFTY NEXT 50,83.4812020246098,82.81425885674953,68.0,0.5826086956521739,58.0,0.4956521739130435
Broad,NMC100,NIFTY Midcap 100,98.42965481299399,116.72543441724615,89.0,0.7652173913043478,96.0,0.8260869565217391
Broad,NMIDSEL,Nifty Midcap Select,96.04692979132365,101.342196405008,87.0,0.7478260869565218,79.0,0.6782608695652174
Broad,NMC50,NIFTY MIDCAP 50,100.16046167037997,124.7137212412193,93.0,0.8,99.0,0.8521739130434782
Broad,NSC50,NIFTY SMALLCAP 50,110.28319710055521,114.29966325997351,99.0,0.8521739130434782,94.0,0.808695652173913
Broad,NMC150,NIFTY MIDCAP 150,93.04502427661345,112.38201563745496,86.0,0.7391304347826086,92.0,0.7913043478260869
Broad,NMSC400,NIFTY MIDSMALLCAP 400,91.69077344701584,108.72650881947803,83.0,0.7130434782608696,88.0,0.7565217391304347
Broad,NMICRO,NIFTY MICROCAP 250,123.33952843231042,147.34481338529028,105.0,0.9043478260869565,105.0,0.9043478260869565
Broad,NLMC250,NIFTY LargeMidcap 250,72.85156532427156,86.27022197751396,56.0,0.4782608695652174,65.0,0.5565217391304348
Broad,NSC100,NIFTY SMALLCAP 100,96.10855571957086,101.82446334611402,88.0,0.7565217391304347,80.0,0.6869565217391305
Broad,N500EQ,NIFTY500 EQUAL WEIGHT,86.33654036355179,98.43072373010354,73.0,0.6260869565217392,75.0,0.6434782608695652
Broad,NMC5025,NIFTY500 MULTICAP 50:25:25,72.28353425394243,84.08162807492238,55.0,0.46956521739130436,61.0,0.5217391304347826
Broad,NTOTLM,Nifty Total Market,64.32035007304205,74.76152695061815,41.0,0.34782608695652173,49.0,0.41739130434782606
Broad,N200,NIFTY 200,59.530090235080614,69.07049630621955,34.0,0.28695652173913044,36.0,0.30434782608695654
Broad,NSC250,NIFTY SMALLCAP 250,89.29833037499168,101.32891602490646,80.0,0.6869565217391305,78.0,0.6695652173913044
Broad,N500,NIFTY 500,62.301265036743736,72.43641636290292,39.0,0.33043478260869563,46.0,0.391304347826087
Broad,N100,NIFTY 100,53.61629339810663,62.014041809883366,25.0,0.20869565217391303,29.0,0.24347826086956523
Broad,N50,NIFTY 50,48.8693044712149,60.141580509305825,20.0,0.16521739130434782,22.0,0.1826086956521739
Sector,NMSFINS,Nifty MidSmall Financial Services,142.70458791348784,185.0110706421581,113.0,0.9739130434782609,112.0,0.9652173913043478
Sector,NPSUBANK,NIFTY PSU BANK,119.29515944748763,237.44933809686168,104.0,0.8956521739130435,114.0,0.9826086956521739
Sector,NMSHC,Nifty MidSmall Healthcare,126.97334119459653,120.70067034303109,109.0,0.9391304347826087,98.0,0.8434782608695652
Sector,NAUTO,NIFTY AUTO,107.3681761206316,138.89823972951038,98.0,0.8434782608695652,104.0,0.8956521739130435
Sector,NREALTY,NIFTY REALTY,132.187949143173,132.87279340015962,110.0,0.9478260869565217,102.0,0.8782608695652174
Sector,NHEALTH,Nifty HEALTHCARE,92.95230810163629,92.34565718295694,85.0,0.7304347826086957,71.0,0.6086956521739131
Sector,NFINSEXB,Nifty Financial Services Ex Bank,100.88959784769969,111.29880956716656,94.0,0.808695652173913,90.0,0.7739130434782608
Sector,NOILGAS,NIFTY OIL AND GAS INDEX,70.99354598196604,58.599716637722466,52.0,0.4434782608695652,19.0,0.1565217391304348
Sector,NMETAL,NIFTY METAL,84.20670428951976,102.94421920151922,69.0,0.591304347826087,81.0,0.6956521739130435
Sector,NPHARMA,NIFTY PHARMA,85.87563397116308,80.80463697983565,72.0,0.6173913043478261,56.0,0.4782608695652174
Sector,NFINS25,NIFTY FINANCIAL SERVICES 25/50,74.00343158147818,89.55667900706612,57.0,0.48695652173913045,67.0,0.5739130434782609
Sector,NFINSERV,NIFTY FINANCIAL SERVICES,52.46656143777323,70.63613098348236,24.0,0.2,41.0,0.34782608695652173
Sector,NBANK,NIFTY BANK,43.04685820462101,67.77654718712334,12.0,0.09565217391304348,34.0,0.28695652173913044
Sector,NCONDUR,NIFTY CONSUMER DURABLES,55.931354488709474,54.53416232333574,29.0,0.24347826086956523,15.0,0.12173913043478261
Sector,NCHEM,NIFTY CHEMICALS,32.57294860896054,36.327974713637275,7.0,0.05217391304347826,6.0,0.043478260869565216
Sector,NPVTBANK,NIFTY PRIVATE BANK,34.4871972697765,58.05944060147484,9.0,0.06956521739130435,18.0,0.14782608695652175
Sector,NMSITT,Nifty MidSmall IT & Telecom,67.09134612279796,64.63573091161764,46.0,0.391304347826087,33.0,0.2782608695652174
Sector,NTECH,NIFTY IT,22.967387259762017,27.406504638512786,3.0,0.017391304347826087,3.0,0.017391304347826087
Sector,NFMCG,NIFTY FMCG,27.54813415008332,51.7704741715973,6.0,0.043478260869565216,13.0,0.10434782608695652
Sector,NMEDIA,NIFTY MEDIA,-18.470478597094903,-25.96325198753367,1.0,0.0,1.0,0.0
Strategy,N200V30,Nifty200 Value 30,136.2592143189437,178.1003791428526,111.0,0.9565217391304348,110.0,0.9478260869565217
Strategy,N500V50,NIFTY500 VALUE 50,125.7329835948962,166.40663040010745,107.0,0.9217391304347826,108.0,0.9304347826086956
Strategy,NAQVLV30,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,92.78060234058681,110.49765358045991,84.0,0.7217391304347827,89.0,0.7652173913043478
Strategy,N500LV50,NIFTY500 LOW VOLATILITY 50,79.53505993955433,94.17368891891724,65.0,0.5565217391304348,73.0,0.6260869565217392
Strategy,N500MQVLV50,NIFTY500 MULTIFACTOR MQVLv 50,98.98789752008173,112.58593034960387,92.0,0.7913043478260869,93.0,0.8
Strategy,NMC150M50,NIFTY Midcap150 Momentum 50,101.42789428313866,117.34621280632341,95.0,0.8173913043478261,97.0,0.8347826086956521
Strategy,N100AL30,NIFTY100 ALPHA 30,79.06073225406254,68.67768981143739,63.0,0.5391304347826087,35.0,0.2956521739130435
Strategy,NAQLV30,NIFTY ALPHA QUALITY LOW VOLATILITY 30,87.98129009595296,105.25727174727844,78.0,0.6695652173913044,85.0,0.7304347826086957
Strategy,N200AL30,NIFTY200 ALPHA 30,104.86480163107058,115.17511330026646,97.0,0.8347826086956521,95.0,0.8173913043478261
